Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Worcester;P J Luff;7;Hereford and Worcestershire;74211;27883;21731;9561;0;0;935
Worcestershire Mid;M E Forth;7;Hereford and Worcestershire;84269;33964;24094;9745;0;0;520
Worcestershire South;W M H Spicer;7;Hereford and Worcestershire;80423;34792;9727;18641;0;0;1178
Workington;D N Campbell-Savours;4;Cumbria;57597;16270;26719;3028;0;0;938
Worsley;T Lewis;4;Central Manchester;72244;19406;29418;6490;0;0;853
Worthing;Rt Hon T L Higgins;12;West Sussex;77540;34198;6679;17665;0;0;1485
Wrekin, The;B J Grocott;7;Shropshire;90892;27217;33865;8032;0;0;1008
Wycombe;R W Whitney OBE;12;Buckinghamshire;72564;30081;12222;13005;0;0;1303
Wyre;K D R Mans;4;Lancashire;67778;29449;17785;6420;0;0;260
Wyre Forest;A M V Coombs;7;Hereford and Worcestershire;73550;28983;18642;12958;0;0;0
Yeovil;Rt Hon J J D Ashdown;10;Somerset;73057;22125;5765;30958;0;0;1047
York, City Of;H Bayley;5;North Yorkshire;79242;25183;31525;6811;0;0;648
Aberavon;Rt Hon J Morris QC;6;West Glamorgan;51650;5567;26877;4999;1919;0;707
Alyn and Deeside;S B Jones;6;Clwyd;60477;17355;25206;4687;551;0;633
Blaenau Gwent;L Smith;6;Gwent;55638;4266;34333;2774;2099;0;0
Brecon and Radnor;J P Evans;6;Powys;51509;15977;11634;15847;418;0;393
Bridgend;W J Griffiths;6;Mid Glamorgan;58531;16817;24143;4827;1301;0;0
Caernarfon;D W Wigley;6;Gwynedd;46468;6963;5641;2101;21439;0;173
Caerphilly;R Davies;6;Gwent;64529;9041;31713;4247;4821;0;0
Cardiff Central;J O Jones;6;South Glamorgan;57716;14549;18014;9170;748;0;435
Cardiff North;G H Jones;6;South Glamorgan;56721;21547;18578;6487;916;0;207
Cardiff South and Penarth;A E Michael;6;South Glamorgan;61484;15958;26383;3707;776;0;676
Cardiff West;H R Morgan;6;South Glamorgan;58898;15015;24306;5002;1177;0;184
Carmarthen;Dr A W Williams;6;Dyfed;68887;12782;20879;5353;17957;0;0
Ceredigion and Pembroke North;C Dafis;6;Dyfed;66180;12718;9637;12827;16020;0;0
Clwyd North West;R Richards;6;Clwyd;67351;24488;18438;7999;1888;0;158
Clwyd South West;M D Jones;6;Clwyd;60607;16549;21490;6027;4835;0;506
