Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Medway;R. Marshall-Andrews;12;Kent;61736;16504;21858;4555;0;0;1825
Meriden;Mrs C. Spelman;7;Coventry and Solihull;76287;22997;22415;7098;0;0;2208
Middlesbrough;S. Bell;3;Teesside;70931;7907;32925;3934;0;0;1331
Middlesbrough South and Cleveland East;Dr A. Kumar;3;Teesside;70481;18712;29319;4004;0;0;1552
Milton Keynes North East;B. White;12;Buckinghamshire;70395;19961;20201;8907;0;0;2167
Milton Keynes South West;Mrs P. Starkey;12;Buckinghamshire;71070;17006;27298;6065;0;0;389
Mitcham and Morden;Ms S. McDonagh;11;Merton;65385;14243;27984;3632;0;0;2087
Mole Valley;Sir P. Beresford;12;Surrey;69140;26178;8057;15957;0;0;4332
Morecambe and Lunesdale;Ms G. Smith;4;Lancashire;68013;18096;24061;5614;0;0;1478
Morley and Rothwell;J. Gunnell;5;West Yorkshire;68385;12086;26836;5087;0;0;1888
New Forest East;Dr J. Lewis;12;Hampshire;65717;21053;12161;15838;0;0;0
New Forest West;D. Swayne;12;Hampshire;66522;25149;7092;13817;0;0;3692
Newark;Ms F. Jones;8;Nottinghamshire;69763;20480;23496;5960;0;0;2035
Newbury;D. Rendel;12;Berkshire;73680;21370;3107;29887;0;0;2112
Newcastle-under-Lyme;Mrs L. Golding;7;Staffordshire;66686;10537;27743;6858;0;0;3991
Newcastle upon Tyne Central;J. Cousins;3;Newcastle area;69781;10792;27272;6911;0;0;1113
Newcastle upon Tyne East and Wallsend;N. Brown;3;Newcastle area;63272;5796;29607;4415;0;0;1771
Newcastle upon Tyne North;D. Henderson;3;Newcastle area;65357;8793;28125;6578;0;0;1733
Norfolk Mid;K. Simpson;9;Norfolk;75311;22739;21403;8617;0;0;4698
Norfolk North;D. Prior;9;Norfolk;77113;21456;14736;20163;0;0;2458
Norfolk North West;Dr G. Turner;9;Norfolk;77083;23911;25250;5513;0;0;2923
Norfolk South;Rt.Hon. J. MacGregor;9;Norfolk;79239;24935;16188;17557;0;0;3417
