Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Cornwall South East;Colin Breed;10;Cornwall;80704;18479;6069;24986;0;2693;1228
Cotswold;Geoffrey Clifton-Brown;10;Gloucestershire;71039;23326;8457;13638;0;0;1930
Coventry North East;Bob Ainsworth;7;Coventry and Solihull;70225;6956;21178;6123;0;0;2938
Coventry North West;Geoffrey Robinson;7;Coventry and Solihull;73180;11627;20942;7932;0;0;2937
Coventry South;Jim Cunningham;7;Coventry and Solihull;68884;12394;18649;7228;0;0;2414
Crawley;Laura Moffatt;12;West Sussex;71911;16374;16411;6503;0;0;2685
Crewe and Nantwich;Gwyneth Dunwoody;4;Cheshire;72472;14162;21240;8083;0;0;0
Crosby;Claire Curtis-Thomas;4;Merseyside;54255;11623;17463;6298;0;0;810
Croydon Central;Andrew Pelling;11;Croydon;80825;19974;19899;6384;0;0;2700
Croydon North;Malcolm Wicks;11;Croydon;83796;9667;23555;7560;0;0;3065
Croydon South;Richard Ottaway;11;Croydon;76872;25320;11792;10049;0;0;1736
Dagenham;Jon Cruddas;11;Barking and Dagenham;60141;7841;15446;3106;0;2870;1578
Darlington;Alan Milburn;3;Teesside;65281;10239;20643;7269;0;0;1237
Dartford;Howard Stoate;12;Kent;74028;19203;19909;5036;0;0;2631
Daventry;Tim Boswell;8;Northamptonshire;88758;31206;16520;9964;0;0;2749
Denton and Reddish;Andrew Gwynne;4;Eastern Manchester;68267;6842;20340;5814;0;0;2446
Derby North;Bob Laxton;8;Derbyshire;68173;15515;19272;7209;0;0;1822
Derby South;Margaret Beckett;8;Derbyshire;70397;8211;19683;14026;0;0;1453
Derbyshire North East;Natascha Engel;8;Derbyshire;70981;11351;21416;8812;0;0;1855
Derbyshire South;Mark Todd;8;Derbyshire;85049;20328;24823;7600;0;0;3069
Derbyshire West;Patrick McLoughlin;8;Derbyshire;73865;24378;13625;11408;0;0;1732
Devizes;Michael Ancram;10;Wiltshire;86168;27253;12519;14059;0;0;2315
Devon East;Hugo Swire;10;Devon;71000;23075;7598;15139;0;0;3435
Devon North;Nick Harvey;10;Devon;76203;18868;4656;23840;0;0;4566
Devon South West;Gary Streeter;10;Devon;71307;21906;11545;11765;0;0;3669
Devon West and Torridge;Geoffrey Cox;10;Devon;83489;25013;6001;21777;0;0;5793
Dewsbury;Shahid Malik;5;West Yorkshire;62243;11192;15807;5624;0;5066;906
Don Valley;Caroline Flint;5;South Yorkshire;66993;10820;19418;6626;0;0;0
Doncaster Central;Rosie Winterton;5;South Yorkshire;65731;6489;17617;7815;0;0;2430
Doncaster North;Ed Miliband;5;South Yorkshire;61741;4875;17531;3800;0;2365;3007
Dorset Mid and Poole North;Annette Brooke;10;Dorset;65924;16518;5221;22000;0;0;1420
Dorset North;Robert Walter;10;Dorset;74286;23714;4596;21470;0;0;3035
Dorset South;Jim Knight;10;Dorset;70668;18419;20231;7647;0;1571;716
Dorset West;Oliver Letwin;10;Dorset;69764;24763;4124;22302;0;0;2036
Dover;Gwyn Prosser;12;Kent;70884;16739;21680;7607;0;0;1858
Dudley North;Ian Austin;7;Black Country;68766;12874;18306;4257;0;4022;1949
Dudley South;Ian Pearson;7;Black Country;65228;13556;17800;4808;0;0;3112
Dulwich and West Norwood;Tessa Jowell;11;Lambeth;72232;9200;19059;10252;0;2741;737
Durham North;Kevan Jones;3;Durham;67506;6258;23932;7151;0;0;0
Durham North West;Hilary Armstrong;3;Durham;68130;6463;21312;7869;0;0;3865
Durham, City of;Roberta Blackman-Woods;3;Durham;71441;4179;20928;17654;0;0;1603
Ealing Acton and Shepherd's Bush;Andrew Slaughter;11;Ealing;70454;11059;16579;9986;0;0;1999
Ealing North;Stephen Pound;11;Ealing;78298;13897;20956;9148;0;0;2506
Ealing Southall;Piara Khabra;11;Ealing;83738;10147;22937;11497;0;0;2464
Easington;John Cummings;3;Durham;61084;3400;22733;4097;0;0;1625
East Ham;Stephen Timms;11;Newham;78104;5196;21326;4296;0;8171;580
Eastbourne;Nigel Waterson;12;East Sussex;74628;21033;5268;19909;0;0;2182
Eastleigh;Christopher Huhne;12;Hampshire;76844;18648;10238;19216;0;0;1669
Eccles;Ian Stewart;4;Central Manchester;69009;6816;19702;6429;0;0;1685
Eddisbury;Stephen O'Brien;4;Cheshire;72249;21181;14986;8182;0;0;1325
Edmonton;Andy Love;11;Enfield;58764;10381;18456;4162;0;0;1704
Ellesmere Port and Neston;Andrew Miller;4;Cheshire;68249;13885;20371;6607;0;0;1206
Elmet;Colin Burgon;5;West Yorkshire;68514;17732;22260;5923;0;0;1231
Eltham;Clive Efford;11;Greenwich;57236;12105;15381;5669;0;0;2150
Enfield North;Joan Ryan;11;Enfield;66460;16135;18055;4642;0;0;1917
Enfield Southgate;David Burrowes;11;Enfield;63613;18830;17083;4724;0;0;1573
Epping Forest;Eleanor Laing;9;Essex;72776;23783;9425;8279;0;0;3373
Epsom and Ewell;Chris Grayling;12;Surrey;75515;27146;10265;10699;0;0;1769
Erewash;Liz Blackman;8;Derbyshire;78376;15388;22472;7073;0;2957;2663
Erith and Thamesmead;John Austin;11;Bexley;72058;8983;20483;5088;0;0;3097
Esher and Walton;Ian Taylor;12;Surrey;76926;21882;9309;14155;0;0;2532
Essex North;Bernard Jenkin;9;Essex;73037;22811;11908;9831;0;0;3409
Exeter;Ben Bradshaw;10;Devon;84964;14954;22619;11340;0;0;6155
Falmouth and Camborne;Julia Goldsworthy;10;Cornwall;71509;12644;14861;16747;0;0;3763
Fareham;Mark Hoban;12;Hampshire;72599;24151;12449;10551;0;0;1425
Faversham and Kent Mid;Hugh Robertson;12;Kent;66411;21690;12970;7204;0;0;1762
Feltham and Heston;Alan Keen;11;Hounslow;75391;10921;17741;6177;0;0;2443
Finchley and Golders Green;Rudi Vis;11;Barnet;69808;16746;17487;7282;0;0;1699
Folkestone and Hythe;Michael Howard;12;Kent;70914;26161;6053;14481;0;0;1808
Forest of Dean;Mark Harper;10;Gloucestershire;67225;19474;17425;8185;0;0;2556
Fylde;Michael Jack;4;Lancashire;75703;24287;11828;7748;0;0;1647
Gainsborough;Edward Leigh;8;Lincolnshire;70733;20040;11744;12037;0;0;1860
Gateshead East and Washington West;Sharon Hodgson;3;Newcastle area;61421;4812;20997;7590;0;0;1269
Gedling;Vernon Coaker;8;Nottinghamshire;68917;16518;20329;6070;0;0;1152
Gillingham;Paul Clark;12;Kent;72223;18367;18621;6734;0;0;1445
Gloucester;Parmjit Dhanda;10;Gloucestershire;82500;18867;23138;7825;0;0;1973
Gosport;Peter Viggers;12;Hampshire;71119;19268;13538;7145;0;0;3083
